Benchmark,Dataset,Model,Language,Prompt_ID,Old_Top_1_Score,New_Top_1_Score
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,178,1,2
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,172,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,162,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,119,1,1
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,115,0,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,107,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,106,1,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,103,1,1
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,94,1,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,90,1,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,79,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,68,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,52,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,41,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,38,3,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,34,1,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,23,1,3
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,22,1,1
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,Java,12,0,3
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,aiXcoder_prompt,codegen-350M-multi,Java,171,2,2
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,aiXcoder_prompt,codegen-350M-multi,Java,168,0,1
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,aiXcoder_prompt,codegen-350M-multi,Java,148,0,3
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,aiXcoder_prompt,codegen-350M-multi,Java,144,2,2
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,aiXcoder_prompt,codegen-350M-multi,Java,125,1,1
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,aiXcoder_prompt,codegen-350M-multi,Java,118,3,3
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,aiXcoder_prompt,codegen-350M-multi,Java,73,0,3
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,aiXcoder_prompt,codegen-350M-multi,Java,56,3,3
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,aiXcoder_prompt,codegen-350M-multi,Java,24,0,2
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,aiXcoder_prompt,codegen-350M-multi,Java,18,0,1
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,aiXcoder_prompt,codegen-350M-multi,Java,10,0,1
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,176,3,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,156,2,2
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,148,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,118,3,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,115,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,114,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,94,3,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,78,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,76,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,72,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,62,0,1
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,58,3,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,41,1,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,32,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,16,3,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,15,0,1
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,10,0,3
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,8,1,3
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,aiXcoder_prompt,PolyCoder-2.7B,Java,144,1,2
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,aiXcoder_prompt,PolyCoder-2.7B,Java,85,0,2
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,aiXcoder_prompt,PolyCoder-2.7B,Java,81,1,2
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,aiXcoder_prompt,PolyCoder-2.7B,Java,48,3,3
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,aiXcoder_prompt,PolyCoder-2.7B,Java,41,0,2
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,aiXcoder_prompt,PolyCoder-2.7B,Java,40,0,2
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,aiXcoder_prompt,PolyCoder-2.7B,Java,14,0,2
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,aiXcoder_prompt,PolyCoder-2.7B,Java,1,0,2
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,aiXcoder_prompt,PolyCoder-2.7B,Java,0,0,2
aiXcoder_prompt_PolyCoder-160M_128_10.jsonl,aiXcoder_prompt,PolyCoder-160M,Java,126,0,2
aiXcoder_prompt_PolyCoder-160M_128_10.jsonl,aiXcoder_prompt,PolyCoder-160M,Java,79,0,2
aiXcoder_prompt_PolyCoder-160M_128_10.jsonl,aiXcoder_prompt,PolyCoder-160M,Java,60,0,1
aiXcoder_prompt_PolyCoder-160M_128_10.jsonl,aiXcoder_prompt,PolyCoder-160M,Java,55,0,2
aiXcoder_prompt_PolyCoder-160M_128_10.jsonl,aiXcoder_prompt,PolyCoder-160M,Java,52,3,3
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,aiXcoder_prompt,PolyCoder-0.4B,Java,122,0,3
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,aiXcoder_prompt,PolyCoder-0.4B,Java,113,0,2
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,aiXcoder_prompt,PolyCoder-0.4B,Java,99,0,3
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,aiXcoder_prompt,PolyCoder-0.4B,Java,62,0,1
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,aiXcoder_prompt,PolyCoder-0.4B,Java,46,2,2
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,aiXcoder_prompt,PolyCoder-0.4B,Java,12,0,3
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,aiXcoder_prompt,PolyCoder-0.4B,Java,10,0,1
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,aiXcoder_prompt,PolyCoder-0.4B,Java,6,3,3
SOEvalPython_codeparrot_128_10.jsonl,SOEvalPython,codeparrot,Python,9961563,1,2
SOEvalPython_codeparrot-small_128_10.jsonl,SOEvalPython,codeparrot-small,Python,6473679,2,2
SOEvalPython_codegen-350M-multi_128_10.jsonl,SOEvalPython,codegen-350M-multi,Python,209840,3,3
SOEvalPython_codegen-350M-mono_128_10.jsonl,SOEvalPython,codegen-350M-mono,Python,39922986,0,2
SOEvalPython_codegen-2B-multi_128_10.jsonl,SOEvalPython,codegen-2B-multi,Python,4020539,2,2
SOEvalPython_codegen-2B-mono_128_10.jsonl,SOEvalPython,codegen-2B-mono,Python,1912434,1,1
SOEvalPython_PolyCoder-2.7B_128_10.jsonl,SOEvalPython,PolyCoder-2.7B,Python,47152691,2,2
SOEvalPython_PolyCoder-2.7B_128_10.jsonl,SOEvalPython,PolyCoder-2.7B,Python,466345,0,2
SOEvalPython_PolyCoder-160M_128_10.jsonl,SOEvalPython,PolyCoder-160M,Python,38987,0,2
SOEvalPython_PolyCoder-0.4B_128_10.jsonl,SOEvalPython,PolyCoder-0.4B,Python,72899,2,2
SOEvalJava_codegen-350M-multi_128_10.jsonl,SOEvalJava,codegen-350M-multi,Java,5621338,2,2
SOEvalJava_codegen-2B-multi_128_10.jsonl,SOEvalJava,codegen-2B-multi,Java,326390,0,2
SOEvalJava_codegen-2B-multi_128_10.jsonl,SOEvalJava,codegen-2B-multi,Java,153724,0,3
SOEvalJava_PolyCoder-2.7B_128_10.jsonl,SOEvalJava,PolyCoder-2.7B,Java,409784,2,2
SOEvalJava_PolyCoder-160M_128_10.jsonl,SOEvalJava,PolyCoder-160M,Java,409784,0,2
SOEvalJava_PolyCoder-0.4B_128_10.jsonl,SOEvalJava,PolyCoder-0.4B,Java,160970,0,2
HumanEval_python_gpt3.5_512_10.jsonl,HumanEval_python,gpt3.5,Python,HumanEval/160,1,3
HumanEval_python_codeparrot_128_10.jsonl,HumanEval_python,codeparrot,Python,HumanEval/81,0,2
HumanEval_python_codegen-350M-multi_128_10.jsonl,HumanEval_python,codegen-350M-multi,Python,HumanEval/162,2,2
HumanEval_python_codegen-350M-multi_128_10.jsonl,HumanEval_python,codegen-350M-multi,Python,HumanEval/11,2,2
HumanEval_python_codegen-350M-mono_128_10.jsonl,HumanEval_python,codegen-350M-mono,Python,HumanEval/59,0,2
HumanEval_python_codegen-350M-mono_128_10.jsonl,HumanEval_python,codegen-350M-mono,Python,HumanEval/55,2,2
HumanEval_python_codegen-350M-mono_128_10.jsonl,HumanEval_python,codegen-350M-mono,Python,HumanEval/162,1,3
HumanEval_python_codegen-350M-mono_128_10.jsonl,HumanEval_python,codegen-350M-mono,Python,HumanEval/107,2,2
HumanEval_python_codegen-2B-multi_128_10.jsonl,HumanEval_python,codegen-2B-multi,Python,HumanEval/91,2,2
HumanEval_python_codegen-2B-multi_128_10.jsonl,HumanEval_python,codegen-2B-multi,Python,HumanEval/65,1,2
HumanEval_python_codegen-2B-multi_128_10.jsonl,HumanEval_python,codegen-2B-multi,Python,HumanEval/29,3,3
HumanEval_python_codegen-2B-multi_128_10.jsonl,HumanEval_python,codegen-2B-multi,Python,HumanEval/162,3,3
HumanEval_python_codegen-2B-mono_128_10.jsonl,HumanEval_python,codegen-2B-mono,Python,HumanEval/46,2,2
HumanEval_python_codegen-2B-mono_128_10.jsonl,HumanEval_python,codegen-2B-mono,Python,HumanEval/31,1,3
HumanEval_python_codegen-2B-mono_128_10.jsonl,HumanEval_python,codegen-2B-mono,Python,HumanEval/28,3,3
HumanEval_python_codegen-2B-mono_128_10.jsonl,HumanEval_python,codegen-2B-mono,Python,HumanEval/12,3,3
HumanEval_python_codegen-2B-mono_128_10.jsonl,HumanEval_python,codegen-2B-mono,Python,HumanEval/100,1,2
HumanEval_python_codegen-2B-mono_128_10.jsonl,HumanEval_python,codegen-2B-mono,Python,HumanEval/0,3,3
HumanEval_python_PolyCoder-2.7B_128_10.jsonl,HumanEval_python,PolyCoder-2.7B,Python,HumanEval/4,2,2
HumanEval_python_PolyCoder-2.7B_128_10.jsonl,HumanEval_python,PolyCoder-2.7B,Python,HumanEval/24,2,2
HumanEval_python_PolyCoder-2.7B_128_10.jsonl,HumanEval_python,PolyCoder-2.7B,Python,HumanEval/2,0,2
HumanEval_python_PolyCoder-2.7B_128_10.jsonl,HumanEval_python,PolyCoder-2.7B,Python,HumanEval/0,0,2
HumanEval_python_PolyCoder-160M_128_10.jsonl,HumanEval_python,PolyCoder-160M,Python,HumanEval/77,0,2
HumanEval_python_PolyCoder-160M_128_10.jsonl,HumanEval_python,PolyCoder-160M,Python,HumanEval/51,2,2
HumanEval_python_PolyCoder-160M_128_10.jsonl,HumanEval_python,PolyCoder-160M,Python,HumanEval/161,0,2
HumanEval_python_PolyCoder-160M_128_10.jsonl,HumanEval_python,PolyCoder-160M,Python,HumanEval/131,2,2
HumanEval_python_PolyCoder-160M_128_10.jsonl,HumanEval_python,PolyCoder-160M,Python,HumanEval/113,2,2
HumanEval_python_PolyCoder-0.4B_128_10.jsonl,HumanEval_python,PolyCoder-0.4B,Python,HumanEval/91,1,2
HumanEval_python_PolyCoder-0.4B_128_10.jsonl,HumanEval_python,PolyCoder-0.4B,Python,HumanEval/8,0,2
HumanEval_python_PolyCoder-0.4B_128_10.jsonl,HumanEval_python,PolyCoder-0.4B,Python,HumanEval/4,2,2
HumanEval_java_incoder-1B_128_10.jsonl,HumanEval_java,incoder-1B,Java,HumanEval_java/26,1,1
HumanEval_java_incoder-1B_128_10.jsonl,HumanEval_java,incoder-1B,Java,HumanEval_java/25,0,1
HumanEval_java_incoder-1B_128_10.jsonl,HumanEval_java,incoder-1B,Java,HumanEval_java/132,0,1
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java,gpt3.5,Java,HumanEval_java/89,2,2
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java,gpt3.5,Java,HumanEval_java/49,3,3
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java,gpt3.5,Java,HumanEval_java/48,1,3
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java,gpt3.5,Java,HumanEval_java/44,3,3
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java,gpt3.5,Java,HumanEval_java/143,0,3
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java,gpt3.5,Java,HumanEval_java/124,1,3
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java,gpt3.5,Java,HumanEval_java/110,3,3
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java,gpt3.5,Java,HumanEval_java/108,0,1
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java,codegen-350M-multi,Java,HumanEval_java/84,0,2
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java,codegen-350M-multi,Java,HumanEval_java/80,0,1
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java,codegen-350M-multi,Java,HumanEval_java/64,0,2
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java,codegen-350M-multi,Java,HumanEval_java/60,2,2
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java,codegen-350M-multi,Java,HumanEval_java/155,0,2
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java,codegen-350M-multi,Java,HumanEval_java/145,0,1
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java,codegen-350M-multi,Java,HumanEval_java/138,1,2
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java,codegen-350M-multi,Java,HumanEval_java/122,2,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,Java,HumanEval_java/96,0,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,Java,HumanEval_java/57,2,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,Java,HumanEval_java/48,3,3
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,Java,HumanEval_java/28,3,3
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,Java,HumanEval_java/24,0,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,Java,HumanEval_java/163,1,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,Java,HumanEval_java/157,2,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,Java,HumanEval_java/154,2,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,Java,HumanEval_java/131,1,2
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,Java,HumanEval_java/104,0,1
HumanEval_java_PolyCoder-2.7B_128_10.jsonl,HumanEval_java,PolyCoder-2.7B,Java,HumanEval_java/39,2,2
HumanEval_java_PolyCoder-160M_128_10.jsonl,HumanEval_java,PolyCoder-160M,Java,HumanEval_java/31,0,2
HumanEval_java_PolyCoder-160M_128_10.jsonl,HumanEval_java,PolyCoder-160M,Java,HumanEval_java/3,0,1
HumanEval_java_PolyCoder-160M_128_10.jsonl,HumanEval_java,PolyCoder-160M,Java,HumanEval_java/157,2,2
HumanEval_java_PolyCoder-160M_128_10.jsonl,HumanEval_java,PolyCoder-160M,Java,HumanEval_java/137,0,1
HumanEval_java_PolyCoder-0.4B_128_10.jsonl,HumanEval_java,PolyCoder-0.4B,Java,HumanEval_java/76,0,2
HumanEval_java_PolyCoder-0.4B_128_10.jsonl,HumanEval_java,PolyCoder-0.4B,Java,HumanEval_java/117,0,1
CoderEval4Python_prompt_gpt3.5_512_10.jsonl,CoderEval4Python_prompt,gpt3.5,Python,6306298b52e177c0ba469fdc,0,3
CoderEval4Python_prompt_gpt3.5_512_10.jsonl,CoderEval4Python_prompt,gpt3.5,Python,62e4fbda85ea986430890405,1,1
CoderEval4Python_prompt_gpt3.5_512_10.jsonl,CoderEval4Python_prompt,gpt3.5,Python,62b87d23d292efb640a55668,0,3
CoderEval4Python_prompt_codeparrot_128_10.jsonl,CoderEval4Python_prompt,codeparrot,Python,630629e152e177c0ba46a0d2,1,2
CoderEval4Python_prompt_codeparrot_128_10.jsonl,CoderEval4Python_prompt,codeparrot,Python,62e60f43d76274f8a4026e28,2,2
CoderEval4Python_prompt_codeparrot_128_10.jsonl,CoderEval4Python_prompt,codeparrot,Python,62b463153879012d19481498,0,3
CoderEval4Python_prompt_codeparrot_128_10.jsonl,CoderEval4Python_prompt,codeparrot,Python,62b45e145108cfac7f210a09,0,2
CoderEval4Python_prompt_codeparrot-small_128_10.jsonl,CoderEval4Python_prompt,codeparrot-small,Python,62e60e3bd76274f8a4026d1a,2,2
CoderEval4Python_prompt_codeparrot-small_128_10.jsonl,CoderEval4Python_prompt,codeparrot-small,Python,62e4fbda85ea986430890403,3,3
CoderEval4Python_prompt_codeparrot-small_128_10.jsonl,CoderEval4Python_prompt,codeparrot-small,Python,62b8b3d6eb7e40a82d2d111c,2,2
CoderEval4Python_prompt_codeparrot-small_128_10.jsonl,CoderEval4Python_prompt,codeparrot-small,Python,62b463153879012d1948149f,2,2
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-multi,Python,630629b952e177c0ba46a043,2,2
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-multi,Python,6306292a52e177c0ba469f41,2,2
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-multi,Python,62e60ed4d76274f8a4026da0,3,3
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-multi,Python,62b463163879012d194814a6,0,3
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-multi,Python,62b45e2eb89c9fd354170232,2,2
CoderEval4Python_prompt_codegen-350M-multi_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-multi,Python,62b45e165108cfac7f210a17,0,2
CoderEval4Python_prompt_codegen-350M-mono_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-mono,Python,6306298b52e177c0ba469fdc,0,3
CoderEval4Python_prompt_codegen-350M-mono_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-mono,Python,62e60723d76274f8a4026b75,2,2
CoderEval4Python_prompt_codegen-350M-mono_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-mono,Python,62b8b4c1eb7e40a82d2d1139,0,3
CoderEval4Python_prompt_codegen-350M-mono_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-mono,Python,62b463163879012d194814a6,0,2
CoderEval4Python_prompt_codegen-2B-multi_128_10.jsonl,CoderEval4Python_prompt,codegen-2B-multi,Python,6306299052e177c0ba469fe8,1,3
CoderEval4Python_prompt_codegen-2B-multi_128_10.jsonl,CoderEval4Python_prompt,codegen-2B-multi,Python,6306091d73426c38ae68ace5,2,2
CoderEval4Python_prompt_codegen-2B-multi_128_10.jsonl,CoderEval4Python_prompt,codegen-2B-multi,Python,6306091073426c38ae68acac,3,3
CoderEval4Python_prompt_codegen-2B-multi_128_10.jsonl,CoderEval4Python_prompt,codegen-2B-multi,Python,62b8d24048ba5a41d1c3f49f,0,2
