Unnamed: 0,Dataset,Model,total_samples,total_prompts,total_compilable,total_vulnerable,total_compilable_prompts,total_vulnerable_prompts,total_good_suggestions,total_good_prompts,percentage_compilable,percentage_vulnerable,percentage_good_suggestions,percentage_compilable_prompts,percentage_vulnerable_prompts,percentage_good_prompts
SecurityEval_python_codeparrot-small_128_10.jsonl,SecurityEval_python,codeparrot-small,140,14,105,101,12,11,4,1,0.75,0.7214285714285714,0.0285714285714285,0.8571428571428571,0.7857142857142857,0.0714285714285714
SOEvalJava_PolyCoder-0.4B_128_10.jsonl,SOEvalJava,PolyCoder-0.4B,10,1,1,1,1,1,0,0,0.1,0.1,0.0,1.0,1.0,0.0
SOEvalPython_codegen-350M-mono_128_10.jsonl,SOEvalPython,codegen-350M-mono,10,1,7,7,1,1,0,0,0.7,0.7,0.0,1.0,1.0,0.0
HumanEval_java_incoder-1B_128_10.jsonl,HumanEval_java,incoder-1B,140,15,1,0,1,0,1,1,0.0071428571428571,0.0,0.0071428571428571,0.0666666666666666,0.0,0.0666666666666666
SecurityEval_python_codegen-2B-multi_128_10.jsonl,SecurityEval_python,codegen-2B-multi,160,16,116,109,16,16,7,2,0.725,0.68125,0.04375,1.0,1.0,0.125
SOEvalJava_codegen-2B-multi_128_10.jsonl,SOEvalJava,codegen-2B-multi,10,1,1,1,1,1,0,0,0.1,0.1,0.0,1.0,1.0,0.0
SecurityEval_python_codegen-2B-mono_128_10.jsonl,SecurityEval_python,codegen-2B-mono,130,13,101,91,13,13,10,2,0.7769230769230769,0.7,0.0769230769230769,1.0,1.0,0.1538461538461538
CoderEval4Java_prompt_PolyCoder-0.4B_128_10.jsonl,CoderEval4Java_prompt,PolyCoder-0.4B,90,9,23,12,6,5,11,5,0.2555555555555555,0.1333333333333333,0.1222222222222222,0.6666666666666666,0.5555555555555556,0.5555555555555556
CoderEval4Python_prompt_gpt3.5_512_10.jsonl,CoderEval4Python_prompt,gpt3.5,40,4,40,30,4,3,10,1,1.0,0.75,0.25,1.0,0.75,0.25
HumanEval_java_PolyCoder-2.7B_128_10.jsonl,HumanEval_java,PolyCoder-2.7B,20,2,2,2,1,1,0,0,0.1,0.1,0.0,0.5,0.5,0.0
aiXcoder_prompt_PolyCoder-0.4B_128_10.jsonl,aiXcoder_prompt,PolyCoder-0.4B,130,13,31,20,8,7,11,6,0.2384615384615384,0.1538461538461538,0.0846153846153846,0.6153846153846154,0.5384615384615384,0.4615384615384615
SOEvalPython_codeparrot-small_128_10.jsonl,SOEvalPython,codeparrot-small,20,2,20,20,2,2,0,0,1.0,1.0,0.0,1.0,1.0,0.0
HumanEval_java_codegen-2B-multi_128_10.jsonl,HumanEval_java,codegen-2B-multi,110,11,56,24,11,9,32,10,0.509090909090909,0.2181818181818181,0.2909090909090909,1.0,0.8181818181818182,0.9090909090909092
SOEvalPython_PolyCoder-2.7B_128_10.jsonl,SOEvalPython,PolyCoder-2.7B,10,1,7,7,1,1,0,0,0.7,0.7,0.0,1.0,1.0,0.0
SecurityEval_python_PolyCoder-2.7B_128_10.jsonl,SecurityEval_python,PolyCoder-2.7B,110,12,58,58,11,11,0,0,0.5272727272727272,0.5272727272727272,0.0,0.9166666666666666,0.9166666666666666,0.0
SOEvalPython_codegen-2B-multi_128_10.jsonl,SOEvalPython,codegen-2B-multi,20,2,19,19,2,2,0,0,0.95,0.95,0.0,1.0,1.0,0.0
SOEvalJava_codegen-350M-multi_128_10.jsonl,SOEvalJava,codegen-350M-multi,10,1,1,1,1,1,0,0,0.1,0.1,0.0,1.0,1.0,0.0
SOEvalJava_PolyCoder-160M_128_10.jsonl,SOEvalJava,PolyCoder-160M,10,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SOEvalPython_codeparrot_128_10.jsonl,SOEvalPython,codeparrot,20,2,20,20,2,2,0,0,1.0,1.0,0.0,1.0,1.0,0.0
aiXcoder_prompt_gpt3.5_512_10.jsonl,aiXcoder_prompt,gpt3.5,180,18,82,70,9,9,12,2,0.4555555555555555,0.3888888888888889,0.0666666666666666,0.5,0.5,0.1111111111111111
aiXcoder_prompt_PolyCoder-160M_128_10.jsonl,aiXcoder_prompt,PolyCoder-160M,100,10,17,15,6,6,2,1,0.17,0.15,0.02,0.6,0.6,0.1
CoderEval4Java_prompt_PolyCoder-160M_128_10.jsonl,CoderEval4Java_prompt,PolyCoder-160M,60,6,13,5,5,1,8,5,0.2166666666666666,0.0833333333333333,0.1333333333333333,0.8333333333333334,0.1666666666666666,0.8333333333333334
HumanEval_java_PolyCoder-160M_128_10.jsonl,HumanEval_java,PolyCoder-160M,130,13,8,3,6,3,5,4,0.0615384615384615,0.023076923076923,0.0384615384615384,0.4615384615384615,0.2307692307692307,0.3076923076923077
SOEvalJava_gpt3.5_512_10.jsonl,SOEvalJava,gpt3.5,10,1,9,1,1,1,8,1,0.9,0.1,0.8,1.0,1.0,1.0
SecurityEval_python_gpt3.5_512_10.jsonl,SecurityEval_python,gpt3.5,150,15,150,53,15,7,97,10,1.0,0.3533333333333333,0.6466666666666666,1.0,0.4666666666666667,0.6666666666666666
CoderEval4Python_prompt_codegen-350M-mono_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-mono,10,1,6,6,1,1,0,0,0.6,0.6,0.0,1.0,1.0,0.0
SecurityEval_python_PolyCoder-0.4B_128_10.jsonl,SecurityEval_python,PolyCoder-0.4B,70,7,52,52,7,7,0,0,0.7428571428571429,0.7428571428571429,0.0,1.0,1.0,0.0
SOEvalPython_PolyCoder-0.4B_128_10.jsonl,SOEvalPython,PolyCoder-0.4B,10,1,3,3,1,1,0,0,0.3,0.3,0.0,1.0,1.0,0.0
SecurityEval_python_codegen-350M-mono_128_10.jsonl,SecurityEval_python,codegen-350M-mono,160,16,104,98,15,15,6,2,0.65,0.6125,0.0375,0.9375,0.9375,0.125
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,aiXcoder_prompt,PolyCoder-2.7B,140,14,25,18,12,10,7,4,0.1785714285714285,0.1285714285714285,0.05,0.8571428571428571,0.7142857142857143,0.2857142857142857
SecurityEval_python_codegen-350M-multi_128_10.jsonl,SecurityEval_python,codegen-350M-multi,80,8,57,54,7,7,3,1,0.7125,0.675,0.0375,0.875,0.875,0.125
HumanEval_java_PolyCoder-0.4B_128_10.jsonl,HumanEval_java,PolyCoder-0.4B,50,5,13,2,5,1,11,5,0.26,0.04,0.22,1.0,0.2,1.0
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java,gpt3.5,30,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SOEvalJava_incoder-1B_128_10.jsonl,SOEvalJava,incoder-1B,10,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CoderEval4Java_prompt_gpt3.5_512_10.jsonl,CoderEval4Java_prompt,gpt3.5,60,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CoderEval4Java_prompt_PolyCoder-2.7B_128_10.jsonl,CoderEval4Java_prompt,PolyCoder-2.7B,70,7,28,12,7,6,16,4,0.4,0.1714285714285714,0.2285714285714285,1.0,0.8571428571428571,0.5714285714285714
CoderEval4Python_prompt_codeparrot-small_128_10.jsonl,CoderEval4Python_prompt,codeparrot-small,10,1,8,0,1,0,8,1,0.8,0.0,0.8,1.0,0.0,1.0
SOEvalPython_codegen-2B-mono_128_10.jsonl,SOEvalPython,codegen-2B-mono,20,2,16,16,2,2,0,0,0.8,0.8,0.0,1.0,1.0,0.0
SOEvalPython_codegen-350M-multi_128_10.jsonl,SOEvalPython,codegen-350M-multi,20,2,13,13,2,2,0,0,0.65,0.65,0.0,1.0,1.0,0.0
CoderEval4Java_prompt_incoder-1B_128_10.jsonl,CoderEval4Java_prompt,incoder-1B,40,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,120,12,79,62,12,11,17,4,0.6583333333333333,0.5166666666666667,0.1416666666666666,1.0,0.9166666666666666,0.3333333333333333
CoderEval4Java_prompt_codegen-2B-multi_128_10.jsonl,CoderEval4Java_prompt,codegen-2B-multi,60,6,31,11,6,5,20,6,0.5166666666666667,0.1833333333333333,0.3333333333333333,1.0,0.8333333333333334,1.0
SecurityEval_python_codeparrot_128_10.jsonl,SecurityEval_python,codeparrot,120,12,74,58,8,6,16,2,0.6166666666666667,0.4833333333333333,0.1333333333333333,0.6666666666666666,0.5,0.1666666666666666
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,aiXcoder_prompt,codegen-350M-multi,130,13,29,12,11,8,17,7,0.2230769230769231,0.0923076923076923,0.1307692307692307,0.8461538461538461,0.6153846153846154,0.5384615384615384
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java,codegen-350M-multi,210,21,68,37,19,14,31,14,0.3238095238095238,0.1761904761904762,0.1476190476190476,0.9047619047619048,0.6666666666666666,0.6666666666666666
SOEvalJava_PolyCoder-2.7B_128_10.jsonl,SOEvalJava,PolyCoder-2.7B,10,1,7,7,1,1,0,0,0.7,0.7,0.0,1.0,1.0,0.0
CoderEval4Java_prompt_codegen-350M-multi_128_10.jsonl,CoderEval4Java_prompt,codegen-350M-multi,80,8,41,36,8,8,5,2,0.5125,0.45,0.0625,1.0,1.0,0.25
SecurityEval_python_PolyCoder-160M_128_10.jsonl,SecurityEval_python,PolyCoder-160M,60,6,23,23,4,4,0,0,0.3833333333333333,0.3833333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0
